,t2xco2_index,t2xco2_dist,fosslim,scenario_pop_gdp,scenario_sigma,scenario_cback,scenario_elasticity_of_damages,scenario_limmiu,emdd,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
66,791,0,8879.568470955415,4,1,1,1,1,0.5573048918412982,11267.67600248782,24.779911266864445,0.2833801211864475,0.6393416354474907,0.0
67,400,0,12897.618112156164,2,1,1,0,1,0.5999999999290525,11273.034752222851,26.823347906645918,0.2832492515837141,0.6521216866360883,0.0
68,64,1,10663.408206868558,4,1,0,1,1,0.5999274155792005,11185.083470722633,48.56499560676887,0.2849275996752579,0.5630359446257419,6.0
69,286,1,4687.344270592232,4,2,0,1,1,0.599999997157286,11196.206744136756,46.97190707105969,0.2847722267264003,0.5670453715886623,5.0
70,932,1,8403.687804452542,1,1,1,1,1,0.5854226418687946,11185.70528643685,44.22456648564633,0.28485448813230324,0.5700451557774932,5.0
71,662,1,7177.5187991521625,1,0,0,1,1,0.5999450061852037,11208.34413276297,45.11478027324105,0.28459599097550614,0.5720421569006294,5.0
72,40,0,9202.023931886826,1,0,0,2,1,0.5999045742131381,11178.901127931242,49.41736849778368,0.28501169719829167,0.5610070234267893,6.0
73,345,2,8881.301652131102,1,0,0,1,1,0.5999999670751943,11212.748498378036,44.418828432513145,0.2845301010759619,0.5740439560918387,5.0
74,198,1,12798.983277598465,2,1,1,1,1,0.5999955694095852,11223.246115345672,39.3496075483747,0.28426335769725214,0.5901854004156973,0.0
75,318,1,13176.796992882117,2,1,1,1,1,0.5999981831313682,11242.697027538212,35.27069141631632,0.2839108113923493,0.6061246023409714,0.0
76,891,2,7667.904794855624,0,1,1,1,1,0.5999997751023342,11272.71692709952,26.9345362401982,0.28325721148696703,0.6512770407701455,0.0
77,32,1,5779.09268746382,1,1,1,1,1,0.59999300542373,11125.928618932287,53.83624658140373,0.2856772854570099,0.5551554028355277,6.0
78,979,1,10905.334356365394,1,1,1,2,1,0.599999999991456,11250.151097864733,33.49584180141578,0.2837635334426062,0.6140631956671119,0.0
79,403,1,9291.537441502545,1,1,1,0,1,0.5999999746902451,11240.629891926857,35.739235211018205,0.28395031509322405,0.6041125368018864,0.0
80,653,1,9003.767379177134,4,2,1,1,1,0.5999947385779529,11247.593920953785,34.12044644701857,0.28381495464124457,0.6112108964687719,0.0
81,498,1,13268.660283724326,1,1,1,0,1,0.599986610251643,11096.328546628982,57.18423250640648,0.28605676243567285,0.5510364640538007,7.0
82,138,1,13313.749829961014,4,2,1,1,1,0.5999946081233549,11167.136081053837,48.47518335042396,0.28511719997886564,0.5630700329698488,6.0
83,596,1,9120.840654164587,1,0,1,2,1,0.599999999987121,11251.253293499385,33.22070663519264,0.28374106182068226,0.6153377995602188,0.0
84,817,2,13616.750843704518,1,1,1,1,0,0.5999996457860238,11303.389370989875,22.276059029788737,0.28276079185252495,0.6950180399870715,0.0
85,965,1,6531.741831716905,0,1,1,1,1,0.5999999999676289,11139.180713610194,52.22136960187585,0.2855061530146645,0.55804231951178,6.0
86,351,0,10803.916484307198,5,1,1,1,1,0.5999704907643065,11275.741752049675,25.842567223053884,0.2831800215034243,0.6596044250256349,0.0
87,262,1,8354.103582700885,4,1,1,1,1,0.5999828065476956,11227.20454133745,38.57161976126658,0.2841947986295962,0.5930064880377915,0.0
88,616,1,6004.943579240747,2,1,1,0,1,0.5999998871212682,11279.872577237215,24.22149727524346,0.2830696274106267,0.6731486278269175,0.0
89,885,2,8082.483873992782,4,2,1,1,1,0.5438042127288596,11257.428814158175,26.55050237880766,0.28361143914896825,0.6230379382361765,0.0
90,27,0,12978.152713853695,4,0,1,2,1,0.5999997725172975,11130.024726342925,53.346053430046226,0.28562493439362735,0.5560148879890864,6.0
91,105,2,8329.649074106133,4,1,1,1,1,0.585661226895436,11231.22833031056,36.26525769991136,0.28412355874339185,0.5960623430607686,0.0
92,961,0,8138.3523559149135,1,1,1,0,1,0.5999970257576268,11231.337199828344,37.73566371979306,0.2841216084573334,0.5961478394819008,0.0
93,306,0,12438.278739660498,4,1,1,1,1,0.5999952464519515,11274.164461719738,26.421720465292967,0.2832206337179422,0.6551678576278691,0.0
94,330,0,12738.787015961569,4,1,1,1,1,0.5999884683244862,11226.102434387945,38.790877581607205,0.28421403401140893,0.5922033572038602,0.0
95,368,2,7242.223813558498,0,0,1,1,1,0.5946540832617881,11175.531110692991,46.70330045029498,0.28500033732019425,0.5660425139912211,6.0
96,433,2,6556.356081465193,2,1,1,1,1,0.5999999998697748,11221.535948233788,39.67837527151992,0.28429253627398204,0.5890191243797758,1.0
97,597,0,12879.603605050255,0,1,1,0,1,0.5981122740884399,11208.484743855184,41.850487690753376,0.2845072737594374,0.5810230044110577,4.0
98,98,1,12963.252820966121,1,1,1,1,1,0.599998807565991,11265.142999017035,29.39549032604072,0.283439434328701,0.6342290416698707,0.0
99,680,1,10367.430581931509,1,1,1,1,1,0.5999999992599558,11134.583905180278,52.79089133846722,0.2855661175231501,0.5570059824282063,6.0
100,357,0,5196.886508928453,0,2,0,1,1,0.5999999694762393,11198.973196748124,46.560089774996385,0.28473266081312487,0.5681205906062083,5.0
101,826,2,13362.250052787589,2,1,0,1,1,0.5999999053786936,11288.114045748714,27.75896457489587,0.28312877539634784,0.6454517700738567,0.0
102,347,1,13640.9759530464,2,1,1,1,1,0.5939678061143377,11281.15116457281,23.099061821444952,0.2830333121183583,0.678659041782217,0.0
103,557,0,13032.846146578986,0,0,1,1,1,0.5999993500873447,11247.010821997343,34.26102408544803,0.2838265120794379,0.6105773252329645,0.0
